iter	Logloss
0	0.6823395027
1	0.6696750449
2	0.6581664125
3	0.6474004274
4	0.6384928646
5	0.6296675198
6	0.621445025
7	0.6127540465
8	0.606843094
9	0.5990671398
10	0.5914588847
11	0.5873222588
12	0.582808809
13	0.5770572106
14	0.5711068134
15	0.5653046555
16	0.5606395709
17	0.5553411767
18	0.5513552262
19	0.5468370583
20	0.543550314
21	0.5398739224
22	0.5355777363
23	0.5324527226
24	0.5289909199
25	0.5256983372
26	0.5227006549
27	0.5187117603
28	0.5157432722
29	0.5126198235
30	0.5097251291
31	0.5057443312
32	0.5037518129
33	0.5012046797
34	0.4991428573
35	0.4965285461
36	0.4940316527
37	0.4920217981
38	0.4892130077
39	0.4870266006
40	0.4855209159
41	0.4837496742
42	0.482444104
43	0.4809929604
44	0.4791174515
45	0.4780272536
46	0.4763344006
47	0.4747367479
48	0.4732071394
49	0.4720852464
50	0.4701958923
51	0.468780016
52	0.467808112
53	0.4662901508
54	0.46529217
55	0.4638059309
56	0.4628096768
57	0.4616924965
58	0.4605466207
59	0.4599103017
60	0.4587321303
61	0.457372787
62	0.4564655198
63	0.4552592862
64	0.4544647254
65	0.4535061046
66	0.4527146642
67	0.4516098522
68	0.4504951087
69	0.4494241026
70	0.4485509646
71	0.4476443304
72	0.4468064923
73	0.4451822105
74	0.4442456683
75	0.4434470384
76	0.4427694875
77	0.4422426741
78	0.4414399333
79	0.4404140851
80	0.4396794187
81	0.4390829817
82	0.4382652933
83	0.4376988468
84	0.4372897853
85	0.4365640978
86	0.4360133347
87	0.4354071228
88	0.4348351554
89	0.4340576718
90	0.4335449627
91	0.4327112828
92	0.4319576523
93	0.4314784238
94	0.4305198952
95	0.429564729
96	0.4288316916
97	0.4282781479
98	0.4277685878
99	0.4268949021
100	0.4264544812
101	0.4260248386
102	0.4256868448
103	0.4251332717
104	0.4245534894
105	0.4241125652
106	0.4237004322
107	0.423082262
108	0.4225592274
109	0.4218950199
110	0.4214742398
111	0.421139138
112	0.4205813344
113	0.4198038386
114	0.4192762131
115	0.4188033639
116	0.418472603
117	0.4181640358
118	0.4177916205
119	0.4174361329
120	0.4171081587
121	0.4167043304
122	0.4162155736
123	0.4158734854
124	0.4155600325
125	0.4152301964
126	0.4144227277
127	0.4141878141
128	0.4136538885
129	0.413304842
130	0.4130643949
131	0.4124753244
132	0.4121647214
133	0.4118552468
134	0.4113751775
135	0.4111193901
136	0.4107463695
137	0.4104627758
138	0.4101397075
139	0.4098541628
140	0.4094591376
141	0.4092362837
142	0.4089809046
143	0.408798553
144	0.4082955013
145	0.4079334258
146	0.4077297322
147	0.4074185568
148	0.4072178209
149	0.407027532
150	0.406733826
151	0.406396077
152	0.4057805819
